target,horizon,model,RMSE,MAE
infl_yoy,1,ridge,0.5328708312364208,0.27997089901397193
infl_yoy,1,lasso,0.2779131404903069,0.1854132537866182
infl_yoy,1,rf,0.42140579429864056,0.2291558086283648
infl_yoy,1,xgb,0.3351592363437281,0.21588359811853186
infl_yoy,3,ridge,1.4243802713951188,0.6992943585576039
infl_yoy,3,lasso,0.9340176704736846,0.5761028880027921
infl_yoy,3,rf,0.794941215718987,0.5544154488867115
infl_yoy,3,xgb,0.7461050749368868,0.49845970094893544
infl_yoy,6,ridge,1.5968659256471227,0.9648548632928574
infl_yoy,6,lasso,1.241483554251231,0.8498296740643834
infl_yoy,6,rf,1.0597512773046995,0.6885886828270948
infl_yoy,6,xgb,0.8311910784058464,0.543978295327702
unrate,1,ridge,2.211029457224018,0.3768868469088875
unrate,1,lasso,2.0987669099228685,0.30441147139264085
unrate,1,rf,0.4477459042071632,0.17514571303167678
unrate,1,xgb,0.25853703043023957,0.12848323678817994
unrate,3,ridge,2.337826056261105,0.6107815730434522
unrate,3,lasso,2.072962077068101,0.5097165745748231
unrate,3,rf,0.9027516981115439,0.4065900199159918
unrate,3,xgb,0.9030996359115443,0.32192308343108456
unrate,6,ridge,2.664930223988357,0.7594289556263685
unrate,6,lasso,2.5054695826440727,0.7196492990483984
unrate,6,rf,1.1682128977502007,0.5846797407347037
unrate,6,xgb,0.9558691229941022,0.40949876974155375
