feature,importance,model,target,horizon
infl_yoy,0.9188512607469551,rf,infl_yoy,1
infl_yoy_lag1,0.01255287914214735,rf,infl_yoy,1
d_oil,0.005049752595670541,rf,infl_yoy,1
d_payems_lag5,0.00413550540740633,rf,infl_yoy,1
core_infl_yoy,0.003342279787531064,rf,infl_yoy,1
d_payems,0.003002471222227259,rf,infl_yoy,1
d_payems_lag1,0.0022157887888832914,rf,infl_yoy,1
d_payems_lag6,0.002116314652993863,rf,infl_yoy,1
core_infl_yoy_lag2,0.0019974685173635757,rf,infl_yoy,1
sentiment_lag5,0.0019767406681630646,rf,infl_yoy,1
spread_lag3,0.0019021396470499153,rf,infl_yoy,1
d_payems_lag4,0.001775359681594894,rf,infl_yoy,1
infl_yoy_lag2,0.0016748683794461788,rf,infl_yoy,1
sentiment_lag4,0.0014760168540869565,rf,infl_yoy,1
spread_lag6,0.0014041379739169278,rf,infl_yoy,1
infl_yoy_lag3,0.0013237510548933856,rf,infl_yoy,1
gs10_lag3,0.001132112930624915,rf,infl_yoy,1
tb3ms,0.0011012585242632998,rf,infl_yoy,1
d_indpro_lag2,0.0010155943917402315,rf,infl_yoy,1
tb3ms_lag4,0.0010144830309318943,rf,infl_yoy,1
infl_yoy_lag1,0.29315879940986633,xgb,infl_yoy,1
infl_yoy,0.23888330161571503,xgb,infl_yoy,1
infl_yoy_lag2,0.04243028908967972,xgb,infl_yoy,1
sentiment_lag4,0.02702157199382782,xgb,infl_yoy,1
gs10_lag3,0.02361680567264557,xgb,infl_yoy,1
gs10_lag4,0.022328875958919525,xgb,infl_yoy,1
core_infl_yoy_lag2,0.02179088443517685,xgb,infl_yoy,1
gs10_lag5,0.01894831843674183,xgb,infl_yoy,1
fedfunds_lag1,0.01872985251247883,xgb,infl_yoy,1
tb3ms_lag4,0.01611023209989071,xgb,infl_yoy,1
d_payems,0.015375006012618542,xgb,infl_yoy,1
gs10_lag1,0.01311548799276352,xgb,infl_yoy,1
tb3ms_lag3,0.013011995702981949,xgb,infl_yoy,1
sentiment_lag5,0.01278065424412489,xgb,infl_yoy,1
d_payems_lag1,0.012646755203604698,xgb,infl_yoy,1
d_oil,0.010852119885385036,xgb,infl_yoy,1
unrate_lag1,0.006964473053812981,xgb,infl_yoy,1
tb3ms_lag5,0.006962888408452272,xgb,infl_yoy,1
fedfunds_lag3,0.006388625130057335,xgb,infl_yoy,1
d_payems_lag2,0.006327291019260883,xgb,infl_yoy,1
