feature,importance,model,target,horizon
unrate,0.7668161975199205,rf,unrate,3
unrate_lag1,0.02477001866631512,rf,unrate,3
gs10,0.023979430375998607,rf,unrate,3
d_oil,0.022752750661595666,rf,unrate,3
unrate_lag4,0.007837026156374797,rf,unrate,3
d_payems,0.007434683160006402,rf,unrate,3
d_m2,0.006621813177683571,rf,unrate,3
d_indpro_lag3,0.0065501859978135705,rf,unrate,3
unrate_lag3,0.0058076844206353334,rf,unrate,3
sentiment_lag1,0.005772453959462516,rf,unrate,3
unrate_lag2,0.005709603793080252,rf,unrate,3
unrate_lag6,0.005641533798400283,rf,unrate,3
unrate_lag5,0.005443600415101886,rf,unrate,3
d_indpro,0.004742360885321065,rf,unrate,3
sentiment_lag2,0.003969892806654852,rf,unrate,3
sentiment_lag4,0.003895987769114723,rf,unrate,3
sentiment_lag6,0.003720639987156767,rf,unrate,3
fedfunds_lag1,0.003683300926086052,rf,unrate,3
spread_lag6,0.003391134687361013,rf,unrate,3
sentiment_lag5,0.003137722474830789,rf,unrate,3
unrate_lag1,0.2226627767086029,xgb,unrate,3
unrate,0.18088555335998535,xgb,unrate,3
unrate_lag2,0.08843160420656204,xgb,unrate,3
unrate_lag3,0.08069057017564774,xgb,unrate,3
spread_lag5,0.04860249534249306,xgb,unrate,3
gs10_lag4,0.0360230952501297,xgb,unrate,3
unrate_lag5,0.03539711982011795,xgb,unrate,3
sentiment_lag2,0.03125627711415291,xgb,unrate,3
d_oil,0.025086529552936554,xgb,unrate,3
gs10,0.0202339980751276,xgb,unrate,3
sentiment,0.013940473087131977,xgb,unrate,3
gs10_lag3,0.013296687044203281,xgb,unrate,3
spread_lag4,0.011733545921742916,xgb,unrate,3
tb3ms,0.01122982706874609,xgb,unrate,3
d_indpro,0.01075306162238121,xgb,unrate,3
d_payems,0.009267236106097698,xgb,unrate,3
sentiment_lag1,0.009089630097150803,xgb,unrate,3
spread_lag3,0.008912560530006886,xgb,unrate,3
spread,0.00749050360172987,xgb,unrate,3
fedfunds,0.006877685897052288,xgb,unrate,3
