target,horizon,model,n_obs,RMSE,MAE
infl_yoy,1,naive,313,0.4494,0.32
infl_yoy,1,arima,313,0.402,0.2979
infl_yoy,1,var,313,0.4312,0.3096
infl_yoy,1,ridge,313,0.5329,0.28
infl_yoy,1,lasso,313,0.2779,0.1854
infl_yoy,1,rf,313,0.4214,0.2292
infl_yoy,1,xgb,313,0.3352,0.2159
infl_yoy,3,naive,311,0.977,0.6699
infl_yoy,3,arima,311,0.9566,0.6657
infl_yoy,3,var,311,1.1273,0.7292
infl_yoy,3,ridge,311,1.4244,0.6993
infl_yoy,3,lasso,311,0.934,0.5761
infl_yoy,3,rf,311,0.7949,0.5544
infl_yoy,3,xgb,311,0.7461,0.4985
infl_yoy,6,naive,308,1.4355,1.0192
infl_yoy,6,arima,308,1.4475,0.9966
infl_yoy,6,var,308,1.9738,1.1209
infl_yoy,6,ridge,308,1.5969,0.9649
infl_yoy,6,lasso,308,1.2415,0.8498
infl_yoy,6,rf,308,1.0598,0.6886
infl_yoy,6,xgb,308,0.8312,0.544
unrate,1,naive,313,0.6424,0.1757
unrate,1,arima,313,0.9963,0.2234
unrate,1,var,313,0.9889,0.2207
unrate,1,ridge,313,2.211,0.3769
unrate,1,lasso,313,2.0988,0.3044
unrate,1,rf,313,0.4477,0.1751
unrate,1,xgb,313,0.2585,0.1285
unrate,3,naive,311,1.0871,0.373
unrate,3,arima,311,2.7409,0.5144
unrate,3,var,311,2.7291,0.5089
unrate,3,ridge,311,2.3378,0.6108
unrate,3,lasso,311,2.073,0.5097
unrate,3,rf,311,0.9028,0.4066
unrate,3,xgb,311,0.9031,0.3219
unrate,6,naive,308,1.4004,0.6156
unrate,6,arima,308,5.7556,0.9049
unrate,6,var,308,5.9368,0.918
unrate,6,ridge,308,2.6649,0.7594
unrate,6,lasso,308,2.5055,0.7196
unrate,6,rf,308,1.1682,0.5847
unrate,6,xgb,308,0.9559,0.4095
