target,horizon,period,model,RMSE,n
infl_yoy,1,2008-2019,naive,0.4476,144
infl_yoy,1,2008-2019,arima,0.4012,144
infl_yoy,1,2008-2019,var,0.413,144
infl_yoy,1,2008-2019,ridge,0.266,144
infl_yoy,1,2008-2019,lasso,0.2043,144
infl_yoy,1,2008-2019,rf,0.3823,144
infl_yoy,1,2008-2019,xgb,0.3026,144
infl_yoy,1,2020+,naive,0.4558,73
infl_yoy,1,2020+,arima,0.384,73
infl_yoy,1,2020+,var,0.4944,73
infl_yoy,1,2020+,ridge,0.9447,73
infl_yoy,1,2020+,lasso,0.3373,73
infl_yoy,1,2020+,rf,0.6107,73
infl_yoy,1,2020+,xgb,0.523,73
infl_yoy,1,pre-2008,naive,0.4472,96
infl_yoy,1,pre-2008,arima,0.4173,96
infl_yoy,1,pre-2008,var,0.4056,96
infl_yoy,1,pre-2008,ridge,0.2762,96
infl_yoy,1,pre-2008,lasso,0.1472,96
infl_yoy,1,pre-2008,rf,0.2761,96
infl_yoy,1,pre-2008,xgb,0.2625,96
infl_yoy,3,2008-2019,naive,1.0327,144
infl_yoy,3,2008-2019,arima,1.05,144
infl_yoy,3,2008-2019,var,1.0169,144
infl_yoy,3,2008-2019,ridge,0.7129,144
infl_yoy,3,2008-2019,lasso,0.6627,144
infl_yoy,3,2008-2019,rf,0.7151,144
infl_yoy,3,2008-2019,xgb,0.6045,144
infl_yoy,3,2020+,naive,1.0778,71
infl_yoy,3,2020+,arima,1.0497,71
infl_yoy,3,2020+,var,1.6461,71
infl_yoy,3,2020+,ridge,2.5452,71
infl_yoy,3,2020+,lasso,1.2207,71
infl_yoy,3,2020+,rf,1.1433,71
infl_yoy,3,2020+,xgb,1.2248,71
infl_yoy,3,pre-2008,naive,0.7957,96
infl_yoy,3,pre-2008,arima,0.7985,96
infl_yoy,3,pre-2008,var,0.7495,96
infl_yoy,3,pre-2008,ridge,0.6568,96
infl_yoy,3,pre-2008,lasso,0.6084,96
infl_yoy,3,pre-2008,rf,0.5597,96
infl_yoy,3,pre-2008,xgb,0.5078,96
infl_yoy,6,2008-2019,naive,1.5315,144
infl_yoy,6,2008-2019,arima,1.5796,144
infl_yoy,6,2008-2019,var,1.4896,144
infl_yoy,6,2008-2019,ridge,1.1207,144
infl_yoy,6,2008-2019,lasso,1.0327,144
infl_yoy,6,2008-2019,rf,0.8188,144
infl_yoy,6,2008-2019,xgb,0.6398,144
infl_yoy,6,2020+,naive,1.7581,68
infl_yoy,6,2020+,arima,1.7413,68
infl_yoy,6,2020+,var,3.4544,68
infl_yoy,6,2020+,ridge,2.6898,68
infl_yoy,6,2020+,lasso,1.7682,68
infl_yoy,6,2020+,rf,1.7538,68
infl_yoy,6,2020+,xgb,1.4104,68
infl_yoy,6,pre-2008,naive,0.9504,96
infl_yoy,6,pre-2008,arima,0.9732,96
infl_yoy,6,pre-2008,var,0.8474,96
infl_yoy,6,pre-2008,ridge,0.8053,96
infl_yoy,6,pre-2008,lasso,0.7271,96
infl_yoy,6,pre-2008,rf,0.6472,96
infl_yoy,6,pre-2008,xgb,0.5883,96
unrate,1,2008-2019,naive,0.178,144
unrate,1,2008-2019,arima,0.1603,144
unrate,1,2008-2019,var,0.1623,144
unrate,1,2008-2019,ridge,0.123,144
unrate,1,2008-2019,lasso,0.0663,144
unrate,1,2008-2019,rf,0.319,144
unrate,1,2008-2019,xgb,0.2433,144
unrate,1,2020+,naive,1.2986,73
unrate,1,2020+,arima,2.1348,73
unrate,1,2020+,var,2.0294,73
unrate,1,2020+,ridge,4.4447,73
unrate,1,2020+,lasso,3.9365,73
unrate,1,2020+,rf,0.7953,73
unrate,1,2020+,xgb,0.4922,73
unrate,1,pre-2008,naive,0.1258,96
unrate,1,pre-2008,arima,0.1288,96
unrate,1,pre-2008,var,0.1302,96
unrate,1,pre-2008,ridge,0.1433,96
unrate,1,pre-2008,lasso,0.0789,96
unrate,1,pre-2008,rf,0.1417,96
unrate,1,pre-2008,xgb,0.1128,96
unrate,3,2008-2019,naive,0.39,144
unrate,3,2008-2019,arima,0.3164,144
unrate,3,2008-2019,var,0.3285,144
unrate,3,2008-2019,ridge,0.2161,144
unrate,3,2008-2019,lasso,0.1931,144
unrate,3,2008-2019,rf,0.4633,144
unrate,3,2008-2019,xgb,0.3515,144
unrate,3,2020+,naive,2.1902,71
unrate,3,2020+,arima,6.1546,71
unrate,3,2020+,var,5.6862,71
unrate,3,2020+,ridge,4.7171,71
unrate,3,2020+,lasso,4.2917,71
unrate,3,2020+,rf,1.7568,71
unrate,3,2020+,xgb,1.807,71
unrate,3,pre-2008,naive,0.2291,96
unrate,3,pre-2008,arima,0.24,96
unrate,3,pre-2008,var,0.2329,96
unrate,3,pre-2008,ridge,0.1985,96
unrate,3,pre-2008,lasso,0.1681,96
unrate,3,pre-2008,rf,0.1886,96
unrate,3,pre-2008,xgb,0.1519,96
unrate,6,2008-2019,naive,1.4139,144
unrate,6,2008-2019,arima,1.3727,144
unrate,6,2008-2019,var,1.3819,144
unrate,6,2008-2019,ridge,1.2704,144
unrate,6,2008-2019,lasso,1.2584,144
unrate,6,2008-2019,rf,1.258,144
unrate,6,2008-2019,xgb,1.0825,144
unrate,6,2020+,naive,2.1082,68
unrate,6,2020+,arima,14.7601,68
unrate,6,2020+,var,12.4653,68
unrate,6,2020+,ridge,5.2416,68
unrate,6,2020+,lasso,5.1345,68
unrate,6,2020+,rf,1.6582,68
unrate,6,2020+,xgb,1.2637,68
unrate,6,pre-2008,naive,0.3804,96
unrate,6,pre-2008,arima,0.4234,96
unrate,6,pre-2008,var,0.39,96
unrate,6,pre-2008,ridge,0.2429,96
unrate,6,pre-2008,lasso,0.2189,96
unrate,6,pre-2008,rf,0.2386,96
unrate,6,pre-2008,xgb,0.2034,96
